date,title,artist,weeks,current,peak,previous,,
2019/8/17,Megane No Otokonoko/Nippon No D.N.A!/Go Waist,Beyooooonds,1,2,0,0,,
2019/8/17,Pretender,Official Hige Dandism,17,3,2,2,,
2019/8/17,Shukumei,Official Hige Dandism,5,4,4,7,,
2019/8/17,Ai Ni Dekiru Koto Ha Mada Arukai?,RADWIMPS,5,5,3,5,,
2019/8/17,Chie No Wa,Tokyo Ska Paradise Orchestra Feat. Kazunobu Meneta,3,6,6,82,,
2019/8/17,P.A.R.T.Y. (Universe Festival),DA PUMP,5,7,7,38,,
2019/8/17,Marigold,Aimyon,57,8,1,8,,
2019/8/17,Grand Escape,RADWIMPS Feat.Toko Miura,5,9,9,10,,
2019/8/17,Hikoutei,King Gnu,1,10,0,0,,
2019/8/10,Daisuki Na Hito,STU48,1,1,0,0,,
2019/8/10,Pretender,Official Hige Dandism,16,2,2,4,,
2019/8/10,Welcome 2 Paradise,THE RAMPAGE from EXILE TRIBE,5,3,3,90,,
2019/8/10,Hot Hot Hot,Tohoshinki,2,4,4,56,,
2019/8/10,Ai Ni Dekiru Koto Ha Mada Arukai?,RADWIMPS,4,5,3,3,,
2019/8/10,Breakthrough,TWICE,8,6,1,1,,
2019/8/10,Shukumei,Official Hige Dandism,4,7,7,16,,
2019/8/10,Marigold,Aimyon,56,8,1,11,,
2019/8/10,Machigai Sagashi,Masaki Suda,13,9,2,8,,
2019/8/10,Grand Escape,RADWIMPS Feat.Toko Miura,4,10,9,9,,
2019/8/3,Breakthrough,TWICE,7,1,1,49,,
2019/8/3,Frustration,SKE48,2,2,2,0,,
2019/8/3,Ai Ni Dekiru Koto Ha Mada Arukai?,RADWIMPS,3,3,3,4,,
2019/8/3,Pretender,Official Hige Dandism,15,4,2,5,,
2019/8/3,Happy Happy,TWICE,7,5,2,2,,
2019/8/3,Fire Bird,Roselia,1,6,0,0,,
2019/8/3,The Smell Of A Midsummer Night,Aimyon,2,7,7,20,,
2019/8/3,Machigai Sagashi,Masaki Suda,12,8,2,7,,
2019/8/3,Grand Escape,RADWIMPS Feat.Toko Miura,3,9,9,10,,
2019/8/3,Dolemisolasido,Hinatazaka 46,2,10,1,1,,
2019/7/27,Dolemisolasido,Hinatazaka 46,1,1,0,0,,
2019/7/27,Happy Happy,TWICE,6,2,2,76,,
2019/7/27,Golden Zipangu Soul,Matsuri Nine.,1,3,0,0,,
2019/7/27,Ai Ni Dekiru Koto Ha Mada Arukai?,RADWIMPS,2,4,4,0,,
2019/7/27,Pretender,Official Hige Dandism,14,5,2,3,,
2019/7/27,Kasuka Ni.Kimi Datta.,M!LK,1,6,0,0,,
2019/7/27,Machigai Sagashi,Masaki Suda,11,7,2,4,,
2019/7/27,Natsu No Dokoka He,WANIMA,5,8,8,30,,
2019/7/27,Marigold,Aimyon,54,9,1,5,,
2019/7/27,Grand Escape,RADWIMPS Feat.Toko Miura,2,10,10,0,,
2019/7/20,Hands Up,Kis-My-Ft2,2,1,1,79,,
2019/7/20,Lights,BTS,4,2,1,1,,
2019/7/20,Pretender,Official Hige Dandism,13,3,2,3,,
2019/7/20,Machigai Sagashi,Masaki Suda,10,4,2,2,,
2019/7/20,Marigold,Aimyon,53,5,1,4,,
2019/7/20,Lemon,Kenshi Yonezu,74,6,1,6,,
2019/7/20,Shukumei,Official Hige Dandism,1,7,0,0,,
2019/7/20,Hakujitsu,King Gnu,21,8,5,7,,
2019/7/20,Yuchaku Night,Yabai T Shirts Yasan,1,9,0,0,,
2019/7/20,Aurora,BUMP OF CHICKEN,7,10,5,0,,
2019/7/13,Lights,BTS,3,1,1,81,,
2019/7/13,Machigai Sagashi,Masaki Suda,9,2,2,2,,
2019/7/13,Pretender,Official Hige Dandism,12,3,2,3,,
2019/7/13,Marigold,Aimyon,52,4,1,4,,
2019/7/13,Gurenge,LiSA,11,5,5,52,,
2019/7/13,Lemon,Kenshi Yonezu,73,6,1,6,,
2019/7/13,Hakujitsu,King Gnu,20,7,5,8,,
2019/7/13,Just Fine,GLAY,1,8,0,0,,
2019/7/13,Paprika,Foorin,28,9,8,12,,
2019/7/13,Wasurerarenaino,Sakanaction,6,10,5,5,,
2019/7/6,Buenos Aires,IZ*ONE,5,1,1,48,,
2019/7/6,Machigai Sagashi,Masaki Suda,8,2,2,3,,
2019/7/6,Pretender,Official Hige Dandism,11,3,2,4,,
2019/7/6,Marigold,Aimyon,51,4,1,6,,
2019/7/6,Wasurerarenaino,Sakanaction,5,5,5,5,,
2019/7/6,Lemon,Kenshi Yonezu,72,6,1,7,,
2019/7/6,Yasashii Ano Ko,Spitz,5,7,2,2,,
2019/7/6,Hakujitsu,King Gnu,19,8,5,9,,
2019/7/6,NA,Nissy,1,9,0,0,,
2019/7/6,Remember Me,Man With A Mission,8,10,5,12,,
2019/6/29,Change,Tomohisa Yamashita,1,1,0,0,,
2019/6/29,Yasashii Ano Ko,Spitz,4,2,2,0,,
2019/6/29,Machigai Sagashi,Masaki Suda,7,3,2,4,,
2019/6/29,Pretender,Official Hige Dandism,10,4,2,6,,
2019/6/29,Wasurerarenaino,Sakanaction,4,5,5,80,,
2019/6/29,Marigold,Aimyon,50,6,1,7,,
2019/6/29,Lemon,Kenshi Yonezu,71,7,1,8,,
2019/6/29,Spirits Of The Sea,Kenshi Yonezu,3,8,1,5,,
2019/6/29,Hakujitsu,King Gnu,18,9,5,12,,
2019/6/29,Sing Out!,Nogizaka46,7,10,1,14,,
2019/6/22,Top Gun,NEWS,4,1,1,34,,
2019/6/22,Alligator,MONSTA X,5,2,2,0,,
2019/6/22,Jinsei Blues,Morning Musume.`19,1,3,0,0,,
2019/6/22,Machigai Sagashi,Masaki Suda,6,4,2,2,,
2019/6/22,Spirits Of The Sea,Kenshi Yonezu,2,5,1,1,,
2019/6/22,Pretender,Official Hige Dandism,9,6,2,4,,
2019/6/22,Marigold,Aimyon,49,7,1,9,,
2019/6/22,Lemon,Kenshi Yonezu,70,8,1,10,,
2019/6/22,Equal,Sumika,3,9,9,31,,
2019/6/22,Remember Me,Man With A Mission,6,10,5,5,,
2019/6/15,Spirits Of The Sea,Kenshi Yonezu,1,1,0,0,,
2019/6/15,Machigai Sagashi,Masaki Suda,5,2,2,8,,
2019/6/15,Aru Hi Negai Ga Kanattanda/All For You,V6,1,3,0,0,,
2019/6/15,Pretender,Official Hige Dandism,8,4,2,4,,
2019/6/15,Remember Me,Man With A Mission,5,5,5,13,,
2019/6/15,Gomen..Hanashitakunai,Mag!C Prince,1,6,0,0,,
2019/6/15,[Hitori De Ikiraresou]Tte Sorette Nee.Hometeiruno?,Juice=Juice,1,7,0,0,,
2019/6/15,Sing Out!,Nogizaka46,5,8,1,1,,
2019/6/15,Marigold,Aimyon,48,9,1,5,,
2019/6/15,Lemon,Kenshi Yonezu,69,10,1,7,,
2019/6/8,Sing Out!,Nogizaka46,4,1,1,9,,
2019/6/8,Happy Ending,SEVENTEEN,3,2,2,0,,
2019/6/8,Atama No Naka No Film,BOYS AND MEN,1,3,0,0,,
2019/6/8,Pretender,Official Hige Dandism,7,4,2,2,,
2019/6/8,Marigold,Aimyon,47,5,1,4,,
2019/6/8,Hoshi No Fanfare,Atarashiichizu join MUSIC,1,6,0,0,,
2019/6/8,Lemon,Kenshi Yonezu,68,7,1,5,,
2019/6/8,Machigai Sagashi,Masaki Suda,4,8,2,3,,
2019/6/8,Umi No Yurei,Kenshi Yonezu,2,9,9,0,,
2019/6/8,Kimi Ni Todoku Made,Little Glee Monster,5,10,10,97,,
2019/6/1,Lucky-Unlucky,Hey! Say! JUMP,1,1,0,0,,
2019/6/1,Pretender,Official Hige Dandism,6,2,2,3,,
2019/6/1,Machigai Sagashi,Masaki Suda,3,3,2,2,,
2019/6/1,Marigold,Aimyon,46,4,1,4,,
2019/6/1,Lemon,Kenshi Yonezu,67,5,1,6,,
2019/6/1,Hakujitsu,King Gnu,14,6,5,5,,
2019/6/1,Haru No Hi,Aimyon,9,7,2,7,,
2019/6/1,Fancy,TWICE,5,8,4,9,,
2019/6/1,Sing Out!,Nogizaka46,3,9,9,0,,
2019/6/1,Kuroi Hitsuji,Keyakizaka46,17,10,1,33,,
2019/5/25,Rain,Kazuya Kamenashi,1,1,0,0,,
2019/5/25,Machigai Sagashi,Masaki Suda,2,2,2,0,,
2019/5/25,Pretender,Official Hige Dandism,5,3,3,8,,
2019/5/25,Marigold,Aimyon,45,4,1,2,,
2019/5/25,Hakujitsu,King Gnu,13,5,5,5,,
2019/5/25,Lemon,Kenshi Yonezu,66,6,1,3,,
2019/5/25,Haru No Hi,Aimyon,8,7,2,4,,
2019/5/25,Ishi,HKT48,3,8,1,0,,
2019/5/25,Fancy,TWICE,4,9,4,6,,
